1,Albania,
2,Andorra,
3,Armenia,
4,Austria,
5,Azerbaigian,
6,Belgio,
7,Bielorussia,
8,Bosnia ed Erzegovina,
9,Bulgaria,
10,Repubblica Ceca,
11,Cipro,
12,Città del Vaticano,
13,Croazia,
14,Danimarca,
15,Estonia,
16,Finlandia,
17,Francia,
18,Georgia,
19,Germania,
20,Grecia,
21,Irlanda,
22,Islanda,
23,Italia,
24,Kazakistan,
25,Lettonia,
26,Liechtenstein,
27,Lituania,
28,Lussemburgo,
29,Macedonia del Nord,
30,Malta,
31,Moldavia,
32,Monaco,
33,Montenegro,
34,Norvegia,
35,Paesi Bassi,
36,Polonia,
37,Portogallo,
38,Regno Unito,
39,Romania,
40,Russia,
41,San Marino,
42,Serbia,
43,Slovacchia,
44,Slovenia,
45,Spagna,
46,Svezia,
47,Svizzera,
48,Turchia,
49,Ucraina,
50,Ungheria,