asn,ip
15169,8.8.8.8
15169,8.8.4.4
19281,9.9.9.9
19281,149.112.112.112
19281,149.112.112.9
19281,149.112.112.11
19281,9.9.9.11
19281,9.9.9.10
19281,149.112.112.10
13335,1.1.1.1
13335,1.0.0.1
13335,1.1.1.2
13335,1.0.0.2
13335,1.1.1.3
13335,1.0.0.3
36692,208.67.222.222
36692,208.67.220.220
36692,208.67.222.123
36692,208.67.220.123
36692,208.67.222.2
36692,208.67.220.2
16509,76.76.19.19
16509,76.223.122.150
212772,94.140.14.14
212772,94.140.15.15
212772,94.140.14.15
212772,94.140.15.16
212772,94.140.14.140
212772,94.140.14.141
205157,185.228.168.9
205157,185.228.169.9
8075,168.63.129.16
13238,77.88.8.1
13238,77.88.8.8
13238,77.88.8.2
13238,77.88.8.88
13238,77.88.8.3
13238,77.88.8.7
204136,185.121.177.177
205157,185.228.168.168
205157,185.228.169.168
205157,185.228.168.10
205157,185.228.169.11
205157,185.228.168.9
205157,185.228.169.9
33517,216.146.35.35
33517,216.146.36.36
13335,162.159.24.4
13335,162.159.25.4
13335,162.159.26.4
13335,162.159.27.4
13335,198.41.222.254
29997,194.62.181.53
29997,194.62.180.53
29997,204.16.255.53
29997,204.16.254.53
3269,212.216.112.112
3269,212.216.172.62
19905,156.154.70.1
12008,156.154.71.1
19905,64.6.64.6
19905,64.6.65.6
19905,156.154.70.2
12008,156.154.71.2
19905,156.154.70.3
12008,156.154.71.3
19905,156.154.70.4
12008,156.154.71.4
19905,156.154.70.5
12008,156.154.71.5
37963,47.113.183.33
37963,203.119.159.111
45102,47.88.44.151
37963,140.205.1.1
134963,170.33.80.8
37963,106.11.41.151
134963,14.1.112.11
37963,140.205.29.113
37963,106.11.41.152
37963,140.205.29.114
45102,47.88.44.152
134963,170.33.80.9
37963,47.113.183.34
134963,14.1.112.12
37963,203.119.159.112
37963,140.205.1.2